,ID,Contents,Tags,Likes,Scaled_Likes,Tag_count
1220,omuk_food,떡볶이러버들 집쭝 큰 놈 왔다굽네에서 맵달 떡볶이 출시 했대요매콤달콤한게 떡볶이 맛집 걍 후려치는 맛치즈 추가도 가능함 존맛력 업글 댑악굽네치킨 맵달떡볶이떡볶이맛집 떡볶이 신상떡볶이 굽네 굽네떡볶이 남해마늘바사삭 치킨추천 떡볶이추천 떡볶이맛집추천 배달떡볶이 먹스타그램 맛스타그램 맛있다 배고파 냠냠 야식추천 배달음식추천 저메추 먹팔 외부 오먹올,"#굽네치킨, #맵달떡볶이.., #떡볶이맛집, #떡볶이, #신상떡볶이, #굽네, #굽네떡볶이, #남해마늘바사삭, #치킨추천, #떡볶이추천, #떡볶이맛집추천, #배달떡볶이, #먹스타그램, #맛스타그램, #맛있다, #배고파, #냠냠, #야식추천, #배달음식추천, #저메추, #먹팔, #외부, #오먹올",1096.0,0.12872915198496596,23
1221,hahyeonjeong1284,해피치즈스마일 진주맛집진주대안동맛집 진주갤러리아백화점부근 떡볶이맛집진주떡볶이맛집해피치즈스마일 진주점진주추천맛집 진주맛집탐방 떡볶이 남편이랑 데이트,"#해피치즈스마일, #진주맛집, #진주대안동맛집, #진주갤러리아백화점부근, #떡볶이맛집, #진주떡볶이맛집, #해피치즈스마일, #진주추천맛집, #진주맛집탐방, #떡볶이, #남편이랑",7.0,0.000822175240779892,11
1222,youngtruck_bunsik,김태균 분식차떡볶이 닭꼬치소떡 핫도그 어묵,"#김태균, #분식차, #떡볶이, #닭꼬치, #소떡, #핫도그, #어묵",1.0,0.00011745360582569885,7
1223,1day_1deok,중동오뎅집충남 공주시 제민천3길 42충남 공주 공주떡볶이 중동오뎅집                       ,"#충남, #공주, #공주떡볶이, #중동오뎅집, #떡볶이, #분식집, #만두, #분식, #밀떡, #쌀떡, #즉석떡볶이, #치즈떡볶이, #라볶이, #쫄볶이, #야끼만두, #튀김, #만두, #어묵, #순대, #음식, #한국음식, #매운음식, #음식탐방, #음식여행, #떡볶이맛집, #먹스타그램, #떡볶이스타그램, #떡볶이그램, #맛집스타그램, #음식스타그램",27.0,0.0031712473572938693,30
1224,92jhddd,신세계맛집분명 술집인데 술은못먹으니 먹방만역시나 육수내는거라면 최고이신우리홍싸장님오뎅국물을  얼마나 먹고온거야 대체철길부산집옥정점 분위기맛집 옥정오뎅바 물회육회 찐맛 떡볶이 언제나옳다 육수맛집양주맛집,"#철길부산집옥정점, #분위기맛집❤️, #옥정오뎅바, #물회육회, #찐맛, #떡볶이, #언제나옳다👍, #육수맛집, #양주맛집",15.0,0.0017618040873854828,9
1225,med4_17,집에서 만들어먹는 떡볶이 튀김 분모자까지 추가해 배부르게 먹기 매콤달콤 역시 떡볶이는 맛있오  떡볶이 팡팡떡볶이 집밥 방콕 분모자 분식 분모자떡볶이 어묵 일상 소통 홈쿡,"#떡볶이, #팡팡떡볶이, #집밥, #방콕, #분모자, #분식, #분모자떡볶이, #어묵, #일상, #소통, #홈쿡",30.0,0.0035236081747709656,11
1226,baegopayo24,분식 빙수야길음역 본점미리 전날 본점 앞에 노트에 예약명단 작성 후에 찾아갔고떡볶이동글이만 시켰는데 나머지가 와르르너무 맛있고 가성비 넘치는 맛집이었다요하지만 지금 현재는 영업하고 있지 않아요 떡볶이  4000원  동글이  13000원 딸기빙수  8000원  5000원 꼬마김밥  3000원 순대  4000원먹스타그램먹방먹팔맛집맛스타그램맛집탐방맛집추천길음역길음역맛집길음역빙수야서울특별시서울맛집떡볶이동글이튀김딸기빙수우동서울맛집추천서울맛집투어서울맛집탐방분식맛집성북구맛집행복한먹짱배고파요서울,"#먹스타그램, #먹방, #먹팔, #맛집, #맛스타그램, #맛집탐방, #맛집추천, #길음역, #길음역맛집, #길음역빙수야, #서울특별시, #서울맛집, #떡볶이, #동글이, #튀김, #딸기빙수, #우동, #서울맛집추천, #서울맛집투어, #서울맛집탐방, #분식맛집, #성북구맛집, #행복한먹짱🐷, #배고파요_서울",16.0,0.0018792576932111817,24
1227,jiiiiiiiina__eats,부산떡볶이모음집빨간떡볶이짱떡볶이시장떡볶이상국이네 가려다가 사람많길래 맞은편에 있던 가게로감 가게이름기억안나 인스타에 부산떡볶이하면 뜨던곳들 한방에 다 먹었음 가래떡 떡볶이는사랑이야 부산 부산여행 부산맛집 해운대 해운대맛집 떡볶이 떡볶이맛집 떡볶이투어 부산떡볶이 떡볶이추천 맛집추천 빨간떡볶이 짱떡볶이,"#부산, #부산여행, #부산맛집, #해운대, #해운대맛집, #떡볶이, #떡볶이맛집, #떡볶이투어, #부산떡볶이, #떡볶이추천, #맛집추천, #빨간떡볶이, #짱떡볶이",8.0,0.0009396288466055908,13
1228,rijang0203,오늘 점심나의 소울푸드 떡볶이먹스타그램 맛스타그램먹스타그램 먹방 맛점음식 분식 떡볶이소울푸드 맛집 광주매월동맛집 얌샘김밥일상 food foodie,"#오늘, #점심나의, #먹스타그램, #맛스타그램, #먹스타그램, #먹방, #맛점, #음식, #분식, #떡볶이, #소울푸드, #맛집, #광주, #매월동맛집, #얌샘김밥, #일상, #food, #foodie",24.0,0.0028188865398167725,18
1229,croffleduck_gggj,도른맛 떡볶이 출시크로플과 완전 잘어울리는 떡볶이가 출시되었어요12인분 조리5500 비조리5000 입니다체다치즈 추가가능신라면 정도 맵기라고 하는데맵고수 오리누나는 안매운데 맵찔이 오리동생은 먹다보니까 맵다고맵기 조절은 어려워요크로플덕오리아가씨 크로플덕 크로플덕오리아가씨경기광주점 크로플 크로플맛집 크로플카페 크로플전문점 디저트 디저트맛집 경기광주 경기광주디저트 경기광주맛집 경기광주크로플 떡볶이 떡볶이맛집 야식 경기광주야식 경기광주카페라온,"#크로플덕오리아가씨, #크로플덕, #크로플덕오리아가씨경기광주점, #크로플, #크로플맛집, #크로플카페, #크로플전문점, #디저트, #디저트맛집, #경기광주, #경기광주디저트, #경기광주맛집, #경기광주크로플, #떡볶이, #떡볶이맛집, #야식, #경기광주야식, #경기광주카페라온",70.0,0.00822175240779892,18
