id,title,author,summary,rating,genre,format,description,serialize,potenup,link
694996,북극의 밤,kust****,어느 한 천재 소녀 작가가 겪게되는 10개월 동안의 비밀 이야기,9.44,drama,스토리,어느 한 천재 소녀 작가가 겪게되는 10개월 동안의 비밀 이야기,False,False,https://comic.naver.com/bestChallenge/list?titleId=694996
626342,데드위크 [Dead Week],yst2****,미드풍 액션 좀비물,9.8,drama,스토리,전직 pmc 벤 웨이드. 좀비가 득실거리는 미국 본토에서 하나뿐인 가족인 조카 제시 웨이드를 찾기 위해 떠나는  긴 여정을 그린 액션 스릴러 좀비물.,False,False,https://comic.naver.com/bestChallenge/list?titleId=626342
690346,언원티드,doom****,찐따↔전세계 재벌1위,9.84,drama,스토리,전 세계 재벌 1위 강동구가 찐따였던 고등학생때로 돌아가 다시 살아가는 이야기,True,False,https://comic.naver.com/bestChallenge/list?titleId=690346
696176,찬란하지 않아도 괜찮아,kama****,"찬란해야 할 것 같은 청춘, 하지만",9.8,drama,스토리,이름과는 달리 가난에 허덕이며 삭막하게 살아온 찬란. 폐부되기 직전의 연극부를 만나 주인공이 된다.,True,False,https://comic.naver.com/bestChallenge/list?titleId=696176
674525,사이클,ahn_****,포스트 아포칼립스,9.88,drama,스토리,코미카에서 '버프'로 연재처 이전하게 되었습니다.,False,False,https://comic.naver.com/bestChallenge/list?titleId=674525
681822,스타더스트,brav****,우주구조대!버텨라!!2년!!,8.94,drama,스토리,강민우!! 우주구조대 스타더스트 에서 2년을 버텨라!,False,False,https://comic.naver.com/bestChallenge/list?titleId=681822
681581,불꽃에 휘날리다,fire****,최초의 소방 극화,9.85,drama,스토리,"류솔, 류봄 두 남매를 구하고 순직한 소방관 정무휘.
현직 소방관들의 실화를 바탕으로 펼쳐지는,
어느 누구도 상상 할 수 없었던 그와 그들의- 놀라운 이야기!",False,False,https://comic.naver.com/bestChallenge/list?titleId=681581
685845,경계인,yu****,어둠에 속해있던 명준은 빛의 세상으로 들어갈 수 있을까.,9.58,drama,스토리,어둠에 속해있던 명준은 빛의 세상으로 들어갈 수 있을까.,False,False,https://comic.naver.com/bestChallenge/list?titleId=685845
653062,달빛속에 그대가,runa****,조용한 시골 마을. 알비노 소녀. 평범한듯 평범하지 못한 삶.,9.87,drama,스토리,한적하고 조용한 시골마을에 사는 알비노 소녀 월자. 그녀는 마을에 고립된 채 무의미한 삶을 이어가는데.. 어느날 그녀 앞에 나타난 한 남자. 그리고 멈출수 없는 운명의 바람이 분다.,False,False,https://comic.naver.com/bestChallenge/list?titleId=653062
695775,격이 다른 남자,snow****,그 남자의 이야기.,9.86,drama,스토리,"격이 다른 남자의, 좌충우돌 캠퍼스 로맨스.",False,False,https://comic.naver.com/bestChallenge/list?titleId=695775
671004,잊지 말아요,lkj1****,초능력 판타지 드라마,9.86,drama,스토리,"‘나에게 주어진 또 다른 시간 그리고 소중한 사람과 함께 했던 잊지 못할 추억.’


<자유연재>",False,False,https://comic.naver.com/bestChallenge/list?titleId=671004
697293,제임스 널 저주해 그리고 사랑해,lo****,감성로맨스스릴러,9.66,drama,스토리,기억을 잊은 그녀와 사랑에 빠지다!,False,False,https://comic.naver.com/bestChallenge/list?titleId=697293
654800,매일 참는 남자,miyu****,남자라면 참고 살아야 할 것들이 너무 많다.. 그 중 가장 힘든 건...,9.62,drama,스토리,"남들 눈에 띄기 싫어 하는 소심한 고등학생.. 사실 그는 무언가에 중독되어 있었는데..

한 점술가의 말에 따르면.. 사랑을 얻기 위해선 그 무언가를 그만 두어야 한다!

사랑과 인내의 절묘한 갈등곡선이 롤러코스터처럼 요동치는 격정의 회오리속 러브스토리!

남자들이여 참을 것인가 지를 것인가?!!",False,False,https://comic.naver.com/bestChallenge/list?titleId=654800
683260,끝과 시작,yise****,맴찢남 세정의 이야기,9.89,drama,스토리,"2016년의 어느 날 전화벨이 울리고, 전화기 속 이름 때문에 문득 10대 시절의 과거를 떠올리는데... 세정의 트라우마는 극복 가능할까?",False,False,https://comic.naver.com/bestChallenge/list?titleId=683260
392973,에이디,roxe****,에이디,9.86,drama,스토리,"주인공인 에이디는 KN그룹이라는 한 거대기업의 통신회사 마스코트 로봇입니다. 평소처럼 출근하는 사람들을 맞이하던 어느날 아침, 그는 자신이 깨어났다는 사실을 알게 됩니다. 기술이 인간을 초월하는 순간, 인공지능과 인간은 서로를 어떻게 받아들이려 할까요?",False,False,https://comic.naver.com/bestChallenge/list?titleId=392973
693048,초하루 밤의 달맞이꽃,zero****,"할게요, 신.",9.79,drama,스토리,신이 된 소년의 이야기,False,False,https://comic.naver.com/bestChallenge/list?titleId=693048
681297,내일,llam****,죽음을 막는 저승사자들,9.89,drama,옴니버스,"우연한 사고로 저승독점기업 주마등에서 일하게 된 취준생 준웅. 주마등의 특별팀, 위기관리팀의 계약직 막내로 일하며 위기에 처한 사람들을 돕게 되는데.",True,False,https://comic.naver.com/bestChallenge/list?titleId=681297
663663,트위너,kum0****,전국민 농구 대회,9.83,drama,스토리,스물 세살 민태현의 뒤늦은 정신적 성장기,False,False,https://comic.naver.com/bestChallenge/list?titleId=663663
657511,그냥조금불편할뿐인데,jinn****,장애인의 꿈과 사랑,9.88,drama,스토리,"삶의 중턱에서 맞이하게 된 장애. 
한쪽 팔로 가능한 일을 찾다가 어려서부터의 꿈에 도전!! 꿈을 이루기 위해 살아가다 벌어지는 기적같은 일들.",False,False,https://comic.naver.com/bestChallenge/list?titleId=657511
610150,행쇼,bma9****,짝사랑,9.77,drama,스토리,17살 모태솔로 박정민의 첫사랑 이야기,False,False,https://comic.naver.com/bestChallenge/list?titleId=610150
677767,"매일, 제일",thsw****,도저히,9.9,drama,스토리,"사사건건 찾아와 시비거는 까칠고딩 강언과
그런 강언에게 서서히 마음을 열어가는 서란이.
그리고 수상하지만 정감가는 구명까지.
학교에서 벌어지는 청춘 로맨스 !",False,False,https://comic.naver.com/bestChallenge/list?titleId=677767
687796,뱀이 앉은 자리,betw****,정식연재공지,9.72,drama,스토리,"사랑스러운 그녀, 아무도 모르는 그녀의 비밀",True,False,https://comic.naver.com/bestChallenge/list?titleId=687796
640958,모드스톤 살인사건,deft****,모드스톤 살인사건의 전말,9.59,drama,스토리,평범한 사람들. 수상한 사건들.,False,False,https://comic.naver.com/bestChallenge/list?titleId=640958
